batch,date,kiln,kiln_car,firing_zone,drying_batch,dryer_num,dryer_car,dryer_car_pos,extruder_num,extruder_date,product,thick_portion_c,spigot_c,cross_c,cooling_c,long_spigot_c,body_c,blister,explode,ring_not_c,chipping_off,irregular_inc,body_rough,bend_pipe,socket_deform,setting_damage,hard_clay,iron_contamination,drying_c,body_dented,between_car_damage,spider_c,socket_chip_off,limestone,underfire,insp_damage,spigot_deform,overfire,neck_crack,radial_c,lamination,lab_test,glaze_crawl,remain_clay,socket_damage,gross_grog,firing_damage,pipe_collape,socket_c,reject_pipe,good_pipe,total_pipe
1,2022-01-01,G2,10,2,57,3,50,5,1,2022-12-25,DN150,1,1,1,11,1,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,36,63
1,2022-01-01,G2,10,2,57,3,93,2,3,2022-12-25,DN150,0,4,0,4,1,0,1,0,0,3,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,74,102
1,2022-01-01,G2,10,2,57,3,98,7,3,2022-12-25,DN150,0,4,0,10,4,0,1,0,0,7,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,79,117
1,2022-01-01,G2,26,1,118,7,143,8,3,2022-12-28,DN150,0,5,2,5,1,1,0,0,0,6,0,0,13,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,46,68,114
1,2022-01-01,G2,26,1,57,3,50,5,1,2022-12-25,DN150,3,2,0,4,1,1,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,28,50
1,2022-01-01,G2,26,1,57,3,7,4,1,2022-12-25,DN150,2,2,1,10,4,0,0,2,0,2,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,41,77,118
1,2022-01-01,G2,37,6,53,10,111,10,1,2022-12-28,DN150,0,1,0,1,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,15,31
1,2022-01-01,G2,37,6,53,10,13,11,1,2022-12-31,DN150,0,1,0,1,0,1,0,0,3,0,0,0,20,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,63
1,2022-01-01,G2,37,6,53,3,97,12,3,2022-12-28,DN150,0,1,0,8,0,1,1,0,0,1,0,0,14,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,36,66,102
1,2022-01-01,G2,4,4,53,10,141,8,7,2022-12-28,DN225/175,0,1,5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,44,55
1,2022-01-01,G2,4,4,53,10,142,8,7,2022-12-28,DN225/175,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,49,56
1,2022-01-01,G2,4,4,53,10,48,10,2,2022-12-28,DN225/175,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,50,56
1,2022-01-01,G2,4,4,53,10,70,7,7,2022-12-28,DN225/175,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,31
1,2022-01-01,G2,10,2,57,3,100,6,7,2022-12-25,DN225/175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
1,2022-01-01,G2,16,5,53,10,120,5,7,2022-12-28,DN225/175,0,1,0,2,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,37,48
1,2022-01-01,G2,16,5,53,10,45,4,2,2022-12-27,DN225/175,0,1,1,2,2,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,46,59
1,2022-01-01,G2,16,5,53,10,59,3,2,2022-12-26,DN225/175,0,0,0,3,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38,47
1,2022-01-01,G2,16,5,53,10,70,7,7,2022-12-28,DN225/175,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,19
1,2022-01-01,G2,16,5,53,10,77,6,7,2022-12-28,DN225/175,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,42
1,2022-01-01,G2,26,1,57,3,16,3,2,2022-12-25,DN225/175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51,54
1,2022-01-01,G2,26,1,57,3,90,1,2,2022-12-25,DN225/175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
1,2022-01-01,G2,37,6,53,10,59,3,2,2022-12-26,DN225/175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
1,2022-01-01,G2,37,6,53,10,81,1,2,2022-12-24,DN225/175,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,55,60
1,2022-01-01,G2,37,6,53,10,84,2,7,2022-12-24,DN225/175,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,47
1,2022-01-01,G2,39,3,53,10,145,11,2,2022-12-31,DN225/175,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40
1,2022-01-01,G2,39,3,53,10,65,12,2,2022-12-28,DN225/175,0,0,0,5,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,25,36
1,2022-01-01,G2,39,3,57,3,100,6,7,2022-12-25,DN225/175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
1,2022-01-01,G2,39,3,57,3,49,8,7,2022-12-25,DN225/175,1,0,19,1,2,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,63
1,2022-01-01,G2,39,3,57,3,87,8,2,2022-12-25,DN225/175,0,2,7,5,4,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,62
2,2022-01-01,G1,8,2,53,10,115,3,1,2022-12-24,DN150,0,2,0,15,2,0,0,0,1,5,0,0,5,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,67,109
2,2022-01-01,G1,8,2,53,10,118,5,1,2022-12-26,DN150,0,6,0,13,1,0,0,0,0,5,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39,60,99
2,2022-01-01,G1,8,2,53,10,122,6,1,2022-01-26,DN150,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,23
2,2022-01-01,G1,8,2,53,9,29,4,3,2022-12-24,DN150,0,8,1,4,4,0,0,0,0,11,0,0,18,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,62,59,121
2,2022-01-01,G1,8,2,53,10,52,2,1,2022-12-24,DN150,0,2,1,3,1,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,26,47
2,2022-01-01,G1,13,6,118,8,131,7,3,2022-12-29,DN150,1,2,0,4,2,0,0,1,0,3,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,86,113
2,2022-01-01,G1,13,6,118,8,67,9,3,2022-12-29,DN150,1,2,1,1,0,0,0,0,0,3,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,45,71
2,2022-01-01,G1,13,6,119,6,108,3,3,2022-12-29,DN150,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,15
2,2022-01-01,G1,13,6,119,6,28,2,3,2022-12-29,DN150,0,4,0,6,2,1,0,0,0,4,0,0,18,0,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,63,106
2,2022-01-01,G1,23,4,118,8,117,3,3,2022-12-29,DN150,0,1,0,1,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,44,73,117
2,2022-01-01,G1,23,4,118,8,40,4,3,2022-12-29,DN150,1,1,0,9,0,0,0,0,0,2,0,0,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,81,118
2,2022-01-01,G1,45,1,53,10,9,9,3,2022-12-28,DN150,0,4,0,4,1,0,2,0,0,4,1,0,9,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,70,110
2,2022-01-01,G1,45,1,53,10,110,7,1,2022-01-27,DN150,0,4,0,3,0,0,0,0,0,2,0,0,12,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,31,53,84
2,2022-01-01,G1,45,1,53,10,111,10,1,2022-01-27,DN150,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,30,41
2,2022-01-01,G1,45,1,53,10,112,8,3,2022-12-28,DN150,0,0,1,10,1,0,0,0,0,1,3,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,32,75,107
2,2022-01-01,G1,45,1,53,10,122,6,1,2022-01-01,DN150,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,38,57
2,2022-01-01,G1,47,3,118,8,15,2,1,2022-12-29,DN150,2,2,0,5,2,0,0,1,0,3,1,0,10,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33,67,100
2,2022-01-01,G1,47,3,53,10,132,1,3,2022-01-03,DN150,1,3,0,5,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28,90,118
2,2022-01-01,G1,47,3,53,10,52,2,1,2022-12-24,DN150,1,2,0,3,0,0,0,0,0,1,0,0,9,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,43,66
2,2022-01-01,G1,47,3,57,3,37,10,1,2022-12-25,DN150,0,1,1,7,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,28,87,115
2,2022-01-01,G1,13,6,119,6,139,1,2,2022-12-29,DN225/175,0,0,0,2,1,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31,50
2,2022-01-01,G1,20,5,118,8,105,8,2,2022-12-29,DN225/175,2,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,45,55
2,2022-01-01,G1,20,5,118,8,140,1,7,2022-12-29,DN225/175,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,49
2,2022-01-01,G1,20,5,118,8,25,10,7,2022-12-29,DN225/175,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49,55
2,2022-01-01,G1,20,5,118,8,39,6,7,2022-12-29,DN225/175,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,35,39
2,2022-01-01,G1,23,4,118,8,39,6,7,2022-12-28,DN225/175,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,15,20
2,2022-01-01,G1,23,4,118,8,46,5,7,2022-12-29,DN225/175,0,1,1,1,6,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,49,63
3,2022-01-01,L,14,1,119,6,108,2,3,2022-12-29,DN150,0,2,1,10,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,63,94
3,2022-01-01,L,18,3,119,7,11,3,1,2022-12-30,DN150,2,2,0,3,1,2,0,0,0,1,2,0,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,27,78,105
3,2022-01-01,L,18,3,119,7,42,2,3,2022-12-30,DN150,0,4,0,8,2,0,1,0,0,3,0,0,18,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,73,114
3,2022-01-01,L,18,3,119,6,58,8,3,2022-12-30,DN150,1,2,0,7,2,2,0,0,0,8,1,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,110
3,2022-01-01,L,18,3,119,7,89,4,3,2022-12-30,DN150,0,2,0,1,1,0,0,0,0,1,0,0,11,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,47,70
3,2022-01-01,L,35,6,71,5,18,3,3,2022-12-30,DN150,0,8,0,13,2,0,1,0,0,7,0,0,10,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,53,64,117
